Source,Target,Weight,Type
bodmer_Polytimet,gleim_Philotas,2,undirected
bodmer_Polytimet,schiller_die-piccolomini-1799,1,undirected
bodmer_Polytimet,schiller_maria-stuart-1800,3,undirected
brentano_die-gruendung-prags-1814,goethe_die-natuerliche-tochter-1803,1,undirected
brentano_die-gruendung-prags-1814,goethe_faust-der-tragoedie-zweiter-teil-1832,1,undirected
brentano_die-gruendung-prags-1814,kleist_die-hermannsschlacht-1808,1,undirected
brentano_die-gruendung-prags-1814,kleist_penthesilea-1808,2,undirected
brentano_die-gruendung-prags-1814,kleist_prinz-friedrich-von-homburg-1810,1,undirected
brentano_die-gruendung-prags-1814,schiller_die-braut-von-messina-1803,3,undirected
brentano_die-gruendung-prags-1814,schiller_die-jungfrau-von-orleans-1801,3,undirected
brentano_ponce-de-leon-1803,tieck_die-verkehrte-welt-1800,1,undirected
brentano_ponce-de-leon-1803,tieck_prinz-zerbino-1799,4,undirected
brentano_ponce-de-leon-1803,tieck_ritter-blaubart-1797,3,undirected
gleim_Philotas,bodmer_Polytimet,2,undirected
gleim_Philotas,goethe_torquato-tasso-1790,3,undirected
gleim_Philotas,kleist_amphitryon-1807,1,undirected
gleim_Philotas,kleist_die-familie-schroffenstein-1803,2,undirected
goethe_der-buergergeneral-1793,tieck_die-verkehrte-welt-1800,3,undirected
goethe_der-buergergeneral-1793,tieck_prinz-zerbino-1799,1,undirected
goethe_der-buergergeneral-1793,tieck_ritter-blaubart-1797,2,undirected
goethe_der-grosskophta-1791,schiller_die-piccolomini-1799,2,undirected
goethe_der-grosskophta-1791,tieck_der-gestiefelte-kater-1797,1,undirected
goethe_der-grosskophta-1791,tieck_prinz-zerbino-1799,3,undirected
goethe_die-natuerliche-tochter-1803,brentano_die-gruendung-prags-1814,1,undirected
goethe_die-natuerliche-tochter-1803,goethe_faust-der-tragoedie-zweiter-teil-1832,5,undirected
goethe_die-natuerliche-tochter-1803,goethe_torquato-tasso-1790,6,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,brentano_die-gruendung-prags-1814,1,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,goethe_die-natuerliche-tochter-1803,5,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,schiller_die-piccolomini-1799,2,undirected
goethe_faust-der-tragoedie-zweiter-teil-1832,werner_der-vierundzwanzigste-februar-1809,2,undirected
goethe_torquato-tasso-1790,gleim_Philotas,3,undirected
goethe_torquato-tasso-1790,goethe_die-natuerliche-tochter-1803,6,undirected
goethe_torquato-tasso-1790,kleist_amphitryon-1807,1,undirected
goethe_torquato-tasso-1790,kleist_die-familie-schroffenstein-1803,3,undirected
goethe_torquato-tasso-1790,schiller_die-piccolomini-1799,2,undirected
goethe_torquato-tasso-1790,schiller_wallensteins-tod-1799,1,undirected
iffland_das-erbtheil-des-vaters-1802,iffland_der-spieler-1796,6,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_die-verkehrte-welt-1800,2,undirected
iffland_das-erbtheil-des-vaters-1802,tieck_prinz-zerbino-1799,1,undirected
iffland_der-spieler-1796,iffland_das-erbtheil-des-vaters-1802,6,undirected
iffland_der-spieler-1796,kotzebue_der-hyperboreische-esel-1799,3,undirected
iffland_der-spieler-1796,schiller_kabale-und-liebe-1784,1,undirected
iffland_der-spieler-1796,tieck_die-verkehrte-welt-1800,2,undirected
kleist_amphitryon-1807,gleim_Philotas,1,undirected
kleist_amphitryon-1807,goethe_torquato-tasso-1790,1,undirected
kleist_amphitryon-1807,kleist_der-zerbrochene-krug-1808,6,undirected
kleist_amphitryon-1807,kleist_die-hermannsschlacht-1808,2,undirected
kleist_der-zerbrochene-krug-1808,kleist_amphitryon-1807,6,undirected
kleist_der-zerbrochene-krug-1808,kleist_die-hermannsschlacht-1808,1,undirected
kleist_der-zerbrochene-krug-1808,kleist_prinz-friedrich-von-homburg-1810,2,undirected
kleist_die-familie-schroffenstein-1803,gleim_Philotas,2,undirected
kleist_die-familie-schroffenstein-1803,goethe_torquato-tasso-1790,3,undirected
kleist_die-familie-schroffenstein-1803,schiller_wallensteins-tod-1799,1,undirected
kleist_die-familie-schroffenstein-1803,werner_der-vierundzwanzigste-februar-1809,5,undirected
kleist_die-hermannsschlacht-1808,brentano_die-gruendung-prags-1814,1,undirected
kleist_die-hermannsschlacht-1808,kleist_amphitryon-1807,2,undirected
kleist_die-hermannsschlacht-1808,kleist_der-zerbrochene-krug-1808,1,undirected
kleist_die-hermannsschlacht-1808,kleist_penthesilea-1808,5,undirected
kleist_die-hermannsschlacht-1808,kleist_prinz-friedrich-von-homburg-1810,6,undirected
kleist_penthesilea-1808,brentano_die-gruendung-prags-1814,2,undirected
kleist_penthesilea-1808,kleist_die-hermannsschlacht-1808,5,undirected
kleist_penthesilea-1808,kleist_prinz-friedrich-von-homburg-1810,4,undirected
kleist_prinz-friedrich-von-homburg-1810,brentano_die-gruendung-prags-1814,1,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_der-zerbrochene-krug-1808,2,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_die-hermannsschlacht-1808,6,undirected
kleist_prinz-friedrich-von-homburg-1810,kleist_penthesilea-1808,4,undirected
kotzebue_der-hyperboreische-esel-1799,iffland_der-spieler-1796,3,undirected
kotzebue_der-hyperboreische-esel-1799,kotzebue_menschenhass-und-reue-1788,2,undirected
kotzebue_der-hyperboreische-esel-1799,schiller_kabale-und-liebe-1784,1,undirected
kotzebue_die-deutschen-kleinstaedter-1802,kotzebue_menschenhass-und-reue-1788,3,undirected
kotzebue_die-deutschen-kleinstaedter-1802,tieck_der-gestiefelte-kater-1797,1,undirected
kotzebue_die-deutschen-kleinstaedter-1802,tieck_die-verkehrte-welt-1800,4,undirected
kotzebue_menschenhass-und-reue-1788,kotzebue_der-hyperboreische-esel-1799,2,undirected
kotzebue_menschenhass-und-reue-1788,kotzebue_die-deutschen-kleinstaedter-1802,3,undirected
kotzebue_menschenhass-und-reue-1788,schiller_kabale-und-liebe-1784,1,undirected
kotzebue_menschenhass-und-reue-1788,tieck_der-gestiefelte-kater-1797,2,undirected
kotzebue_menschenhass-und-reue-1788,tieck_prinz-zerbino-1799,3,undirected
schiller_die-braut-von-messina-1803,brentano_die-gruendung-prags-1814,3,undirected
schiller_die-braut-von-messina-1803,schiller_die-jungfrau-von-orleans-1801,6,undirected
schiller_die-braut-von-messina-1803,schiller_maria-stuart-1800,4,undirected
schiller_die-braut-von-messina-1803,schlegel_alarcos-1802,1,undirected
schiller_die-jungfrau-von-orleans-1801,brentano_die-gruendung-prags-1814,3,undirected
schiller_die-jungfrau-von-orleans-1801,schiller_die-braut-von-messina-1803,6,undirected
schiller_die-jungfrau-von-orleans-1801,schiller_die-piccolomini-1799,1,undirected
schiller_die-jungfrau-von-orleans-1801,schiller_maria-stuart-1800,5,undirected
schiller_die-jungfrau-von-orleans-1801,schiller_wallensteins-tod-1799,1,undirected
schiller_die-jungfrau-von-orleans-1801,schiller_wilhelm-tell-1804,4,undirected
schiller_die-jungfrau-von-orleans-1801,schlegel_alarcos-1802,3,undirected
schiller_die-piccolomini-1799,bodmer_Polytimet,1,undirected
schiller_die-piccolomini-1799,goethe_der-grosskophta-1791,2,undirected
schiller_die-piccolomini-1799,goethe_faust-der-tragoedie-zweiter-teil-1832,2,undirected
schiller_die-piccolomini-1799,goethe_torquato-tasso-1790,2,undirected
schiller_die-piccolomini-1799,schiller_die-jungfrau-von-orleans-1801,1,undirected
schiller_die-piccolomini-1799,schiller_kabale-und-liebe-1784,2,undirected
schiller_die-piccolomini-1799,schiller_wallensteins-lager-1798,3,undirected
schiller_die-piccolomini-1799,schiller_wallensteins-tod-1799,6,undirected
schiller_die-piccolomini-1799,schiller_wilhelm-tell-1804,3,undirected
schiller_kabale-und-liebe-1784,iffland_der-spieler-1796,1,undirected
schiller_kabale-und-liebe-1784,kotzebue_der-hyperboreische-esel-1799,1,undirected
schiller_kabale-und-liebe-1784,kotzebue_menschenhass-und-reue-1788,1,undirected
schiller_kabale-und-liebe-1784,schiller_die-piccolomini-1799,2,undirected
schiller_kabale-und-liebe-1784,schiller_wallensteins-tod-1799,3,undirected
schiller_maria-stuart-1800,bodmer_Polytimet,3,undirected
schiller_maria-stuart-1800,schiller_die-braut-von-messina-1803,4,undirected
schiller_maria-stuart-1800,schiller_die-jungfrau-von-orleans-1801,5,undirected
schiller_maria-stuart-1800,schiller_wilhelm-tell-1804,1,undirected
schiller_wallensteins-lager-1798,schiller_die-piccolomini-1799,3,undirected
schiller_wallensteins-lager-1798,schiller_wallensteins-tod-1799,1,undirected
schiller_wallensteins-lager-1798,schiller_wilhelm-tell-1804,2,undirected
schiller_wallensteins-tod-1799,goethe_torquato-tasso-1790,1,undirected
schiller_wallensteins-tod-1799,kleist_die-familie-schroffenstein-1803,1,undirected
schiller_wallensteins-tod-1799,schiller_die-jungfrau-von-orleans-1801,1,undirected
schiller_wallensteins-tod-1799,schiller_die-piccolomini-1799,6,undirected
schiller_wallensteins-tod-1799,schiller_kabale-und-liebe-1784,3,undirected
schiller_wallensteins-tod-1799,schiller_wallensteins-lager-1798,1,undirected
schiller_wallensteins-tod-1799,schiller_wilhelm-tell-1804,4,undirected
schiller_wallensteins-tod-1799,werner_der-vierundzwanzigste-februar-1809,1,undirected
schiller_wilhelm-tell-1804,schiller_die-jungfrau-von-orleans-1801,4,undirected
schiller_wilhelm-tell-1804,schiller_die-piccolomini-1799,3,undirected
schiller_wilhelm-tell-1804,schiller_maria-stuart-1800,1,undirected
schiller_wilhelm-tell-1804,schiller_wallensteins-lager-1798,2,undirected
schiller_wilhelm-tell-1804,schiller_wallensteins-tod-1799,4,undirected
schlegel_alarcos-1802,schiller_die-braut-von-messina-1803,1,undirected
schlegel_alarcos-1802,schiller_die-jungfrau-von-orleans-1801,3,undirected
schlegel_alarcos-1802,tieck_prinz-zerbino-1799,2,undirected
tieck_der-gestiefelte-kater-1797,goethe_der-grosskophta-1791,1,undirected
tieck_der-gestiefelte-kater-1797,kotzebue_die-deutschen-kleinstaedter-1802,1,undirected
tieck_der-gestiefelte-kater-1797,kotzebue_menschenhass-und-reue-1788,2,undirected
tieck_der-gestiefelte-kater-1797,tieck_die-verkehrte-welt-1800,4,undirected
tieck_der-gestiefelte-kater-1797,tieck_prinz-zerbino-1799,5,undirected
tieck_der-gestiefelte-kater-1797,tieck_ritter-blaubart-1797,4,undirected
tieck_die-verkehrte-welt-1800,brentano_ponce-de-leon-1803,1,undirected
tieck_die-verkehrte-welt-1800,goethe_der-buergergeneral-1793,3,undirected
tieck_die-verkehrte-welt-1800,iffland_das-erbtheil-des-vaters-1802,2,undirected
tieck_die-verkehrte-welt-1800,iffland_der-spieler-1796,2,undirected
tieck_die-verkehrte-welt-1800,kotzebue_die-deutschen-kleinstaedter-1802,4,undirected
tieck_die-verkehrte-welt-1800,tieck_der-gestiefelte-kater-1797,4,undirected
tieck_die-verkehrte-welt-1800,tieck_prinz-zerbino-1799,6,undirected
tieck_prinz-zerbino-1799,brentano_ponce-de-leon-1803,4,undirected
tieck_prinz-zerbino-1799,goethe_der-buergergeneral-1793,1,undirected
tieck_prinz-zerbino-1799,goethe_der-grosskophta-1791,3,undirected
tieck_prinz-zerbino-1799,iffland_das-erbtheil-des-vaters-1802,1,undirected
tieck_prinz-zerbino-1799,kotzebue_menschenhass-und-reue-1788,3,undirected
tieck_prinz-zerbino-1799,schlegel_alarcos-1802,2,undirected
tieck_prinz-zerbino-1799,tieck_der-gestiefelte-kater-1797,5,undirected
tieck_prinz-zerbino-1799,tieck_die-verkehrte-welt-1800,6,undirected
tieck_prinz-zerbino-1799,tieck_ritter-blaubart-1797,2,undirected
tieck_ritter-blaubart-1797,brentano_ponce-de-leon-1803,3,undirected
tieck_ritter-blaubart-1797,goethe_der-buergergeneral-1793,2,undirected
tieck_ritter-blaubart-1797,tieck_der-gestiefelte-kater-1797,4,undirected
tieck_ritter-blaubart-1797,tieck_prinz-zerbino-1799,2,undirected
werner_der-vierundzwanzigste-februar-1809,goethe_faust-der-tragoedie-zweiter-teil-1832,2,undirected
werner_der-vierundzwanzigste-februar-1809,kleist_die-familie-schroffenstein-1803,5,undirected
werner_der-vierundzwanzigste-februar-1809,schiller_wallensteins-tod-1799,1,undirected
